,losses
0,"tensor(0.5387, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6164, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4313, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5582, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3497, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3343, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3324, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4033, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3831, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5156, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.7860, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3817, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1429, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4272, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1369, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3758, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5048, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4528, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3538, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.7305, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.7982, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3548, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5831, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5200, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5021, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2397, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2259, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.7418, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4510, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6910, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.8272, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4479, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.7253, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3236, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5108, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5143, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.8849, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3715, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5315, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0205, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4654, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4397, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(1.0626, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3987, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3508, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4112, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6697, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
